# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = CC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# M_W_GeV      = 80.379
# pdf_set      = NNPDF31_nlo_as_0118
# PTO          = 1 (0=LO, 1=NLO)
# esquema      = ZM-VFNS, TMC desligada, CKM completa
# formula      = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# Q2min_GeV2   = 1.0
# nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# tabela_SF    = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
#
# AVISO -- EXTRAPOLACAO DO PDF. Abaixo de x = 1e-09 o LHAPDF extrapola (continuation), e a
# ultima coluna diz que fracao de sigma vem dali. Nao e um
# defeito escondido: e exatamente a hipotese que o modelo de
# dipolo substitui. Onde essa fracao e grande, a inclinacao
# alpha_eff colinear e uma PROPRIEDADE DA EXTRAPOLACAO (uma
# lei de potencia continuada), nao uma medida.
# Enu_GeV sigma_GeV_minus2 sigma_cm2 fracao_x_abaixo_do_grid
5.612597256e+12 0.0003019362029 1.175676168e-31 0.124136
6.108761608e+12 0.0003087729822 1.202297151e-31 0.131729
6.648787838e+12 0.0003157552465 1.229484621e-31 0.138009
7.236553423e+12 0.0003228806878 1.257229593e-31 0.14752
7.876278611e+12 0.0003301527841 1.285545609e-31 0.155275
8.572556732e+12 0.0003375789754 1.314461638e-31 0.162937
9.330387173e+12 0.0003451617097 1.343987213e-31 0.172102
1.015521128e+13 0.000352894432 1.37409681e-31 0.180539
1.105295141e+13 0.0003607912619 1.404845408e-31 0.18956
1.203005349e+13 0.0003688548145 1.436243188e-31 0.197634
1.309353327e+13 0.0003770804768 1.46827219e-31 0.206963
1.42510267e+13 0.0003854766067 1.500964956e-31 0.215865
1.551084477e+13 0.0003940497947 1.53434715e-31 0.225153
1.688203317e+13 0.0004027986964 1.568413536e-31 0.23447
1.837443725e+13 0.0004117248257 1.603170009e-31 0.245362
1.999877271e+13 0.0004208383677 1.638656228e-31 0.255437
2.176670253e+13 0.0004301429162 1.674886186e-31 0.265579
2.369092074e+13 0.0004396313507 1.711832157e-31 0.274951
2.578524353e+13 0.0004493182134 1.749550766e-31 0.285787
2.806470846e+13 0.0004592084111 1.788061119e-31 0.296252
3.054568247e+13 0.0004692977497 1.827346885e-31 0.305945
3.324597932e+13 0.0004795933327 1.867435723e-31 0.317534
3.61849876e+13 0.0004901046814 1.908364707e-31 0.327002
3.938380983e+13 0.0005008349396 1.950146079e-31 0.336755
4.286541408e+13 0.0005117742619 1.992741503e-31 0.3485
4.665479882e+13 0.0005229447146 2.0362369e-31 0.359145
5.077917243e+13 0.0005343485815 2.080641163e-31 0.369365
5.526814857e+13 0.0005459785196 2.1259257e-31 0.379614
6.01539588e+13 0.0005578488138 2.172146133e-31 0.389395
6.547168402e+13 0.0005699674112 2.219333406e-31 0.400006
7.125950634e+13 0.0005823311794 2.267475323e-31 0.410734
7.755898323e+13 0.0005949449891 2.316590849e-31 0.421133
8.441534596e+13 0.0006078220809 2.36673154e-31 0.430578
9.187782429e+13 0.0006209670862 2.417915431e-31 0.441131
1e+14 0.0006343692281 2.470100557e-31 0.450697
