# profile_file data/benchmark_02_collapsar_disk_funnel.dat
# sigma_table data/sigma_nuN_CC_GBW.dat
# Enu_GeV 1e+12
# sigma_cm2_interpolated 1.64167e-30
# r_cm rho_gcm3 tau survival
5.33223e+06 1.07867e+09 3.77843e+09 0
5.35274e+06 1.06836e+09 3.75666e+09 0
5.37333e+06 1.05815e+09 3.73501e+09 0
5.394e+06 1.04803e+09 3.71349e+09 0
5.41474e+06 1.03802e+09 3.69211e+09 0
5.43557e+06 1.02809e+09 3.67083e+09 0
5.45648e+06 1.01827e+09 3.64968e+09 0
5.47746e+06 1.00853e+09 3.62866e+09 0
5.49853e+06 9.98895e+08 3.60775e+09 0
5.51968e+06 9.89347e+08 3.58697e+09 0
5.54091e+06 9.7989e+08 3.5663e+09 0
5.56222e+06 9.70524e+08 3.54576e+09 0
5.58362e+06 9.61248e+08 3.52532e+09 0
5.60509e+06 9.52059e+08 3.50502e+09 0
5.62665e+06 9.42959e+08 3.48482e+09 0
5.64829e+06 9.33946e+08 3.46474e+09 0
5.67002e+06 9.25019e+08 3.44477e+09 0
5.69183e+06 9.16177e+08 3.42492e+09 0
5.71372e+06 9.07419e+08 3.40519e+09 0
5.7357e+06 8.98746e+08 3.38557e+09 0
5.75776e+06 8.90155e+08 3.36606e+09 0
5.7799e+06 8.81646e+08 3.34667e+09 0
5.80214e+06 8.73219e+08 3.32738e+09 0
5.82445e+06 8.64872e+08 3.30821e+09 0
5.84685e+06 8.56605e+08 3.28915e+09 0
5.86934e+06 8.48417e+08 3.27019e+09 0
5.89192e+06 8.40307e+08 3.25134e+09 0
5.91458e+06 8.32274e+08 3.23261e+09 0
5.93733e+06 8.24319e+08 3.21398e+09 0
5.96017e+06 8.16439e+08 3.19545e+09 0
5.98309e+06 8.08635e+08 3.17704e+09 0
6.0061e+06 8.00905e+08 3.15873e+09 0
6.02921e+06 7.93249e+08 3.14052e+09 0
6.0524e+06 7.85666e+08 3.12242e+09 0
6.07567e+06 7.78156e+08 3.10444e+09 0
6.09904e+06 7.70718e+08 3.08654e+09 0
6.1225e+06 7.6335e+08 3.06875e+09 0
6.14605e+06 7.56053e+08 3.05107e+09 0
6.16969e+06 7.48826e+08 3.03348e+09 0
6.19342e+06 7.41668e+08 3.016e+09 0
6.21724e+06 7.34578e+08 2.99861e+09 0
6.24116e+06 7.27556e+08 2.98133e+09 0
6.26516e+06 7.20601e+08 2.96415e+09 0
6.28926e+06 7.13713e+08 2.94706e+09 0
6.31345e+06 7.0689e+08 2.93007e+09 0
6.33773e+06 7.00132e+08 2.91318e+09 0
6.36211e+06 6.9344e+08 2.89639e+09 0
6.38658e+06 6.86811e+08 2.87969e+09 0
6.41115e+06 6.80245e+08 2.86309e+09 0
6.4358e+06 6.73742e+08 2.84659e+09 0
6.46056e+06 6.67302e+08 2.83018e+09 0
6.48541e+06 6.60922e+08 2.81386e+09 0
6.51035e+06 6.54604e+08 2.79765e+09 0
6.53539e+06 6.48346e+08 2.78152e+09 0
6.56053e+06 6.42148e+08 2.76548e+09 0
6.58576e+06 6.3601e+08 2.74954e+09 0
6.6111e+06 6.2993e+08 2.73368e+09 0
6.63652e+06 6.23908e+08 2.71793e+09 0
6.66205e+06 6.17943e+08 2.70226e+09 0
6.68767e+06 6.12036e+08 2.68668e+09 0
6.7134e+06 6.06185e+08 2.67118e+09 0
6.73922e+06 6.0039e+08 2.65578e+09 0
6.76514e+06 5.9465e+08 2.64047e+09 0
6.79116e+06 5.88965e+08 2.62525e+09 0
6.81728e+06 5.83335e+08 2.61011e+09 0
6.8435e+06 5.77758e+08 2.59506e+09 0
6.86982e+06 5.72234e+08 2.5801e+09 0
6.89625e+06 5.66764e+08 2.56522e+09 0
6.92277e+06 5.61345e+08 2.55043e+09 0
6.9494e+06 5.55979e+08 2.53572e+09 0
6.97613e+06 5.50664e+08 2.5211e+09 0
7.00296e+06 5.45399e+08 2.50657e+09 0
7.0299e+06 5.40185e+08 2.49211e+09 0
7.05694e+06 5.35021e+08 2.47774e+09 0
7.08408e+06 5.29906e+08 2.46345e+09 0
7.11133e+06 5.2484e+08 2.44924e+09 0
7.13868e+06 5.19822e+08 2.43512e+09 0
7.16614e+06 5.14852e+08 2.42107e+09 0
7.1937e+06 5.0993e+08 2.40711e+09 0
7.22137e+06 5.05055e+08 2.39323e+09 0
7.24914e+06 5.00226e+08 2.37943e+09 0
7.27703e+06 4.95444e+08 2.3657e+09 0
