# Collapsar-like analytic profile with exponential cutoff
# rho(r) = rho0*(r/r0)^(-alpha)*exp[-(r-r0)/Rcut]
# columns:
# r_cm dens_gcm3 temp_MeV ye pres_dummy entr_dummy
2.53202e+06 6.17558e+10 30.0446 0.132277 1.85543e+12 0.00760105
2.54176e+06 6.10484e+10 29.9524 0.132411 1.82855e+12 0.00760689
2.55154e+06 6.03492e+10 29.8605 0.132544 1.80206e+12 0.00761273
2.56135e+06 5.9658e+10 29.7689 0.132678 1.77595e+12 0.00761857
2.57121e+06 5.89746e+10 29.6776 0.132811 1.75022e+12 0.00762442
2.58109e+06 5.82991e+10 29.5865 0.132944 1.72487e+12 0.00763027
2.59102e+06 5.76314e+10 29.4957 0.133078 1.69988e+12 0.00763612
2.60099e+06 5.69713e+10 29.4052 0.133211 1.67525e+12 0.00764199
2.61099e+06 5.63187e+10 29.315 0.133344 1.65099e+12 0.00764785
2.62104e+06 5.56737e+10 29.2251 0.133478 1.62707e+12 0.00765372
2.63112e+06 5.5036e+10 29.1354 0.133611 1.6035e+12 0.00765959
2.64124e+06 5.44056e+10 29.046 0.133745 1.58027e+12 0.00766547
2.6514e+06 5.37824e+10 28.9569 0.133878 1.55737e+12 0.00767136
2.66159e+06 5.31664e+10 28.8681 0.134011 1.53481e+12 0.00767724
2.67183e+06 5.25574e+10 28.7795 0.134145 1.51258e+12 0.00768314
2.68211e+06 5.19554e+10 28.6912 0.134278 1.49066e+12 0.00768903
2.69242e+06 5.13603e+10 28.6032 0.134411 1.46907e+12 0.00769494
2.70278e+06 5.0772e+10 28.5154 0.134545 1.44779e+12 0.00770084
2.71318e+06 5.01905e+10 28.4279 0.134678 1.42681e+12 0.00770675
2.72361e+06 4.96156e+10 28.3407 0.134812 1.40614e+12 0.00771267
2.73409e+06 4.90473e+10 28.2538 0.134945 1.38577e+12 0.00771859
2.7446e+06 4.84855e+10 28.1671 0.135078 1.36569e+12 0.00772451
2.75516e+06 4.79301e+10 28.0806 0.135212 1.34591e+12 0.00773044
2.76576e+06 4.73811e+10 27.9945 0.135345 1.32641e+12 0.00773637
2.77639e+06 4.68384e+10 27.9086 0.135478 1.30719e+12 0.00774231
2.78707e+06 4.63019e+10 27.823 0.135612 1.28826e+12 0.00774825
2.79779e+06 4.57716e+10 27.7376 0.135745 1.26959e+12 0.0077542
2.80855e+06 4.52473e+10 27.6525 0.135879 1.2512e+12 0.00776015
2.81936e+06 4.4729e+10 27.5676 0.136012 1.23307e+12 0.00776611
2.8302e+06 4.42167e+10 27.4831 0.136145 1.21521e+12 0.00777207
2.84109e+06 4.37102e+10 27.3987 0.136279 1.1976e+12 0.00777803
2.85201e+06 4.32095e+10 27.3147 0.136412 1.18025e+12 0.007784
2.86298e+06 4.27146e+10 27.2309 0.136546 1.16316e+12 0.00778997
2.874e+06 4.22253e+10 27.1473 0.136679 1.1463e+12 0.00779595
2.88505e+06 4.17417e+10 27.064 0.136812 1.1297e+12 0.00780194
2.89615e+06 4.12635e+10 26.981 0.136946 1.11333e+12 0.00780792
2.90729e+06 4.07909e+10 26.8982 0.137079 1.0972e+12 0.00781392
2.91847e+06 4.03237e+10 26.8157 0.137212 1.08131e+12 0.00781991
2.92969e+06 3.98618e+10 26.7334 0.137346 1.06564e+12 0.00782591
2.94096e+06 3.94052e+10 26.6514 0.137479 1.0502e+12 0.00783192
2.95227e+06 3.89538e+10 26.5696 0.137613 1.03499e+12 0.00783793
2.96363e+06 3.85076e+10 26.4881 0.137746 1.01999e+12 0.00784395
2.97503e+06 3.80665e+10 26.4068 0.137879 1.00522e+12 0.00784997
2.98647e+06 3.76305e+10 26.3258 0.138013 9.90652e+11 0.00785599
2.99796e+06 3.71995e+10 26.245 0.138146 9.763e+11 0.00786202
3.00949e+06 3.67734e+10 26.1645 0.138279 9.62155e+11 0.00786805
3.02106e+06 3.63522e+10 26.0842 0.138413 9.48216e+11 0.00787409
