# r z psiT2 psiL2
4.93552 0.010001 4.78192e-06 1.17782e-07
5.24807 0.010001 3.62432e-06 9.14591e-08
5.58042 0.010001 2.71478e-06 7.01186e-08
5.93381 0.010001 2.00805e-06 5.30342e-08
6.30957 0.010001 1.46546e-06 3.95395e-08
6.70914 0.010001 1.05423e-06 2.90317e-08
7.134 0.010001 7.46856e-07 2.09735e-08
7.58578 0.010001 5.20512e-07 1.48932e-08
8.06616 0.010001 3.56484e-07 1.03839e-08
8.57696 0.010001 2.39641e-07 7.10053e-09
9.12011 0.010001 1.57926e-07 4.75616e-09
9.69765 0.010001 1.01894e-07 3.11672e-09
10.3118 0.010001 6.42746e-08 1.99534e-09
10.9648 0.010001 3.95805e-08 1.24619e-09
11.6591 0.010001 2.37569e-08 7.58098e-10
12.3975 0.010001 1.38752e-08 4.4846e-10
13.1826 0.010001 7.87147e-09 2.57524e-10
14.0174 0.010001 4.32931e-09 1.43284e-10
14.905 0.010001 2.30385e-09 7.70903e-11
15.8489 0.010001 1.18369e-09 4.0023e-11
16.8526 0.010001 5.85847e-10 2.00057e-11
17.9198 0.010001 2.78641e-10 9.60488e-12
19.0546 0.010001 1.27031e-10 4.41798e-12
20.2613 0.010001 5.53601e-11 1.94167e-12
21.5443 0.010001 2.29958e-11 8.13021e-13
22.9087 0.010001 9.07673e-12 3.23351e-13
24.3594 0.010001 3.39329e-12 1.21754e-13
25.902 0.010001 1.19734e-12 4.32542e-14
27.5423 0.010001 3.97292e-13 1.44449e-14
29.2864 0.010001 1.23481e-13 4.51696e-15
31.1411 0.010001 3.57991e-14 1.31709e-15
33.1131 0.010001 9.63836e-15 3.56541e-16
35.2101 0.010001 2.39853e-15 8.91835e-17
37.4398 0.010001 5.48936e-16 2.05103e-17
39.8107 0.010001 1.14926e-16 4.31382e-18
42.3318 0.010001 2.18867e-17 8.25097e-19
45.0125 0.010001 3.76865e-18 1.42656e-19
47.863 0.010001 5.82989e-19 2.21535e-20
50.894 0.010001 8.04723e-20 3.06911e-21
54.117 0.010001 9.84017e-21 3.76585e-22
57.544 0.010001 1.05776e-21 4.06124e-23
