# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = CC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = IIM
# generated_by = sigma_nuN (PHASIS/dipole) commit 89bbd23-sujo
# M_W_GeV      = 80.379
# xF3_from     = NNPDF31_nlo_as_0118
# model IIM
# gerado_por sigma_nuN (PHASIS/dipole)
# formalismo Kutak-Kwiecinski EPJ C29 (2003) 521, eqs (2),(8),(9),(12),(13)
# beam nu
# use_F3 1  pdf_set NNPDF31_nlo_as_0118
# Q2min_GeV2 1
# largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s=4]
# bCGC [Rezaeian & Schmidt, PRD 88 (2013) 074016, Tabela II, m_c=1.4]
# bCGC B_CGC 5.5  gamma_s 0.6492  N0 0.3658  x0 0.00069  lambda 0.2023  bMax 20  Nb 80
# massas_GeV  u 0.01  d 0.01  s 0.01  c 1.4
# canais ud, cs
# quadratura_rz  Nr 120  Nz 120  rMin 1e-08  rMax 1000  zMin 1e-11   [ln r; z log nas duas pontas]
# tabela_F  Nx 121  NQ 121  xMin 2.664472562e-15  xMax 1  Q2Min 1  Q2Max 1.968400829e+14
# integracao_sigma  nos_por_decada_Q 16  nos_por_decada_x 16
# Enu_GeV sigma_GeV_minus2 sigma_cm2
3.674661941e+12 0.0001452706523 5.65653413e-32
3.999509097e+12 0.0001479336061 5.760223963e-32
4.353073365e+12 0.0001506382221 5.86553603e-32
4.737893391e+12 0.0001533850741 5.972492676e-32
5.156732245e+12 0.0001561747233 6.081115759e-32
5.612597256e+12 0.0001590077304 6.191427106e-32
6.108761608e+12 0.0001618846928 6.30344998e-32
6.648787838e+12 0.0001648061913 6.417206997e-32
7.236553423e+12 0.0001677728104 6.532720914e-32
7.876278611e+12 0.0001707851616 6.650015542e-32
8.572556732e+12 0.000173843851 6.769114488e-32
9.330387173e+12 0.0001769494924 6.890041641e-32
1.015521128e+13 0.0001801026944 7.012820704e-32
1.105295141e+13 0.0001833041064 7.137476966e-32
1.203005349e+13 0.0001865543593 7.264034986e-32
1.309353327e+13 0.0001898540836 7.392519323e-32
1.42510267e+13 0.0001932039487 7.522956033e-32
1.551084477e+13 0.0001966046082 7.655370575e-32
1.688203317e+13 0.0002000567211 7.789788602e-32
1.837443725e+13 0.0002035609715 7.926236751e-32
1.999877271e+13 0.0002071180418 8.064741599e-32
2.176670253e+13 0.0002107286219 8.205330005e-32
2.369092074e+13 0.0002143933973 8.348028664e-32
2.578524353e+13 0.0002181130943 8.492865855e-32
2.806470846e+13 0.0002218884227 8.639869213e-32
3.054568247e+13 0.0002257200942 8.789066457e-32
3.324597932e+13 0.000229608855 8.940486637e-32
3.61849876e+13 0.0002335554432 9.09415849e-32
3.938380983e+13 0.0002375606073 9.250111172e-32
4.286541408e+13 0.000241625089 9.408373551e-32
4.665479882e+13 0.00024574968 9.568976465e-32
5.077917243e+13 0.0002499351465 9.731949742e-32
5.526814857e+13 0.0002541822605 9.89732344e-32
6.01539588e+13 0.0002584918339 1.006512918e-31
6.547168402e+13 0.0002628646651 1.023539804e-31
7.125950634e+13 0.0002673015558 1.040816125e-31
7.755898323e+13 0.0002718033377 1.058345118e-31
8.441534596e+13 0.0002763708431 1.076130025e-31
9.187782429e+13 0.0002810049111 1.094174113e-31
1e+14 0.0002857063764 1.112480631e-31
